reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_rl,episode,timestamp
-5237.499999999997,0.9165572373164391,719,0.4777777777777778,0.1527777777777778,3510,0,26.77853297258783,29,2026-05-10T19:39:51.751487
-4625.777777777782,0.9138075656044898,719,0.5955056179775281,0.1111111111111111,3511,0,26.69040215960464,30,2026-05-10T19:40:24.066903
-4684.111111111112,0.9110661429076764,719,1.0,0.2222222222222222,3511,0,27.123302709078093,31,2026-05-10T19:40:57.886581
-5358.111111111113,0.9083329444789534,719,0.37777777777777777,0.1527777777777778,3510,0,27.704889682138415,32,2026-05-10T19:41:30.313089
-5751.944444444449,0.9056079456455165,719,3.0224719101123596,0.3888888888888889,3511,0,27.669105367965592,33,2026-05-10T19:42:03.436306
-5269.333333333335,0.90289112180858,719,1.768421052631579,0.3333333333333333,3505,0,27.257937411439602,34,2026-05-10T19:42:36.775699
-4762.722222222218,0.9001824484431542,719,0.6046511627906976,0.18055555555555555,3514,0,27.264330793653972,35,2026-05-10T19:43:10.141737
-4592.055555555557,0.8974819010978248,719,0.5,0.18055555555555555,3512,0,27.039505803369515,36,2026-05-10T19:43:43.029893
-4675.888888888887,0.8947894553945313,719,2.6043956043956045,0.2638888888888889,3509,0,27.946593071058164,37,2026-05-10T19:44:18.097593
-4992.000000000002,0.8921050870283477,719,1.8863636363636365,0.2638888888888889,3512,0,26.993858857347174,38,2026-05-10T19:44:50.773097
-4441.833333333333,0.8894287717672626,719,0.8571428571428571,0.2361111111111111,3508,0,27.024572436103238,39,2026-05-10T19:45:23.950368
-4773.666666666664,0.8867604854519608,719,1.1649484536082475,0.2222222222222222,3503,0,27.49081892827953,40,2026-05-10T19:45:57.940958
-4564.055555555552,0.884100203995605,719,1.6046511627906976,0.2361111111111111,3514,0,27.80318190159486,41,2026-05-10T19:46:30.622027
-4618.499999999999,0.8814479033836181,719,1.0612244897959184,0.2638888888888889,3502,0,28.12119440707444,42,2026-05-10T19:47:13.929548
-4837.444444444444,0.8788035596734672,719,1.4065934065934067,0.16666666666666666,3509,0,27.00131331431849,43,2026-05-10T19:47:47.044735
-4908.722222222224,0.8761671489944468,719,2.5531914893617023,0.3333333333333333,3505,0,27.031844607314746,44,2026-05-10T19:48:20.258023
-4553.111111111105,0.8735386475474635,719,0.6956521739130435,0.16666666666666666,3508,0,27.127119639984258,45,2026-05-10T19:48:53.863645
-4549.000000000003,0.8709180316048211,719,1.065934065934066,0.2222222222222222,3509,0,27.74193758162073,46,2026-05-10T19:49:28.768925
-4724.777777777781,0.8683052775100066,719,1.4408602150537635,0.20833333333333334,3507,0,26.729450955344507,47,2026-05-10T19:50:01.602739
-4491.888888888888,0.8657003616774767,719,1.3370786516853932,0.2638888888888889,3511,1,27.566406788514286,48,2026-05-10T19:50:34.250308
-4651.499999999999,0.8631032605924442,719,0.968421052631579,0.20833333333333334,3505,0,27.63846381217946,49,2026-05-10T19:51:07.456664
-4557.833333333333,0.860513950810667,719,2.7311827956989245,0.3055555555555556,3506,0,27.5559929833127,50,2026-05-10T19:51:40.010473
-4362.944444444441,0.857932408958235,719,0.8817204301075269,0.19444444444444445,3506,0,27.157920113193473,51,2026-05-10T19:52:15.234548
-4391.888888888887,0.8553586117313603,719,0.7727272727272727,0.1527777777777778,3511,0,27.47702959084544,52,2026-05-10T19:53:00.036891
-4343.833333333332,0.8527925358961662,719,1.3263157894736841,0.2361111111111111,3504,0,27.50819216318356,53,2026-05-10T19:53:32.681802
-4631.111111111116,0.8502341582884777,719,1.3777777777777778,0.2222222222222222,3510,0,27.185890237545603,54,2026-05-10T19:54:07.757930
-4159.2222222222235,0.8476834558136123,719,0.3068181818181818,0.125,3512,0,27.716872455347563,55,2026-05-10T19:54:40.482810
-3992.1666666666674,0.8451404054461714,719,0.3522727272727273,0.09722222222222222,3511,1,26.86391350291203,56,2026-05-10T19:55:15.782343
-4538.500000000005,0.8426049842298329,719,0.4725274725274725,0.18055555555555555,3508,0,27.32060535096658,57,2026-05-10T19:55:51.204795
-4183.555555555554,0.8400771692771434,719,0.6704545454545454,0.2222222222222222,3511,0,27.01418003352859,58,2026-05-10T19:56:24.511249
-4516.000000000003,0.837556937769312,719,1.5411764705882354,0.19444444444444445,3515,0,26.67735514687232,59,2026-05-10T19:56:57.677901
-4178.722222222222,0.835044266956004,719,1.8064516129032258,0.25,3507,0,27.290439756921337,60,2026-05-10T19:57:31.119247
-4393.333333333337,0.8325391341551359,719,1.5172413793103448,0.3055555555555556,3513,0,27.42481078358784,61,2026-05-10T19:58:04.236452
-4669.388888888888,0.8300415167526705,719,0.8089887640449438,0.16666666666666666,3510,0,27.160046048224054,62,2026-05-10T19:58:37.205397
-4720.777777777782,0.8275513922024125,719,1.0,0.20833333333333334,3511,0,27.203838727736176,63,2026-05-10T19:59:09.576572
-4468.666666666665,0.8250687380258053,719,1.5604395604395604,0.2222222222222222,3508,0,27.310838678118582,64,2026-05-10T19:59:41.448188
-4159.388888888889,0.8225935318117279,719,1.2988505747126438,0.18055555555555555,3511,0,27.569836893731598,65,2026-05-10T20:00:23.417890
-4156.666666666669,0.8201257512162927,719,0.35714285714285715,0.08333333333333333,3514,0,27.37751376877574,66,2026-05-10T20:00:56.138040
-4001.88888888889,0.8176653739626438,719,1.4175824175824177,0.2361111111111111,3509,0,26.246396432168293,67,2026-05-10T20:01:29.229695
-4635.944444444444,0.8152123778407558,719,1.3267326732673268,0.2916666666666667,3499,0,27.315294308191547,68,2026-05-10T20:02:02.185553
-3783.277777777775,0.8127667407072335,719,0.6,0.1388888888888889,3515,0,28.073268327991556,69,2026-05-10T20:02:35.076712
-4010.1111111111136,0.8103284404851119,719,1.4047619047619047,0.2222222222222222,3516,0,28.006741933597144,70,2026-05-10T20:03:11.186720
-3873.5000000000005,0.8078974551636565,719,1.3764705882352941,0.25,3515,0,28.37475371062341,71,2026-05-10T20:03:43.925179
-4197.277777777776,0.8054737627981655,719,1.595505617977528,0.2916666666666667,3510,0,27.33523646846766,72,2026-05-10T20:04:17.282075
-3863.388888888893,0.803057341509771,719,0.7472527472527473,0.1527777777777778,3509,0,27.235932990804997,73,2026-05-10T20:04:50.140943
-4085.1666666666674,0.8006481694852418,719,0.36046511627906974,0.125,3514,0,27.078728077640452,74,2026-05-10T20:05:22.596574
-4047.722222222221,0.798246224976786,719,0.7954545454545454,0.20833333333333334,3511,0,26.973253608247337,75,2026-05-10T20:05:54.867002
-3958.3888888888914,0.7958514863018556,719,1.0106382978723405,0.1527777777777778,3506,0,26.655824950407876,76,2026-05-10T20:06:26.720103
-4371.888888888888,0.79346393184295,719,0.44086021505376344,0.19444444444444445,3507,0,26.918673726215815,77,2026-05-10T20:07:09.413400
-4041.555555555556,0.7910835400474212,719,1.0574712643678161,0.20833333333333334,3512,0,26.762257749745842,78,2026-05-10T20:07:42.683191
-3866.3888888888896,0.7887102894272789,719,1.7582417582417582,0.3333333333333333,3509,1,26.467276746938225,79,2026-05-10T20:08:15.750615
-4041.666666666664,0.7863441585589971,719,1.1818181818181819,0.19444444444444445,3512,0,25.857099962831374,80,2026-05-10T20:08:49.369320
-3839.6666666666665,0.78398512608332,719,1.2,0.3194444444444444,3505,0,26.31872651971597,81,2026-05-10T20:09:22.040611
-3545.4444444444443,0.7816331707050701,719,0.7613636363636364,0.2222222222222222,3511,0,26.84281990093714,82,2026-05-10T20:11:26.154803
-4068.3888888888855,0.7792882711929549,719,0.7108433734939759,0.125,3516,0,26.84072318627539,83,2026-05-10T20:12:40.291883
-3814.833333333333,0.776950406379376,719,0.24444444444444444,0.08333333333333333,3509,0,26.101918452638248,84,2026-05-10T20:13:17.161947
-3943.2777777777737,0.7746195551602378,719,0.6989247311827957,0.2222222222222222,3507,0,26.15992442888411,85,2026-05-10T20:15:54.321503
-4066.4999999999973,0.7722956964947572,719,1.10989010989011,0.2222222222222222,3508,0,26.00290838302591,86,2026-05-10T20:20:20.690212
-4183.055555555553,0.7699788094052729,719,0.6931818181818182,0.19444444444444445,3512,1,25.862942015179673,87,2026-05-10T20:22:26.513902
-3935.3888888888882,0.767668872977057,719,2.0568181818181817,0.3472222222222222,3512,0,26.08918011205087,88,2026-05-10T20:23:03.328173
-3644.111111111111,0.7653658663581259,719,0.6236559139784946,0.1527777777777778,3507,0,25.95435018632276,89,2026-05-10T20:23:39.802591
-3632.666666666666,0.7630697687590515,719,0.6179775280898876,0.18055555555555555,3511,0,25.522421474748594,90,2026-05-10T20:26:35.432295
-3894.4999999999995,0.7607805594527743,719,0.5294117647058824,0.1111111111111111,3513,0,25.508633402690435,91,2026-05-10T20:30:25.073675
-3901.3333333333326,0.7584982177744161,719,0.6477272727272727,0.1527777777777778,3512,0,25.175906211842417,92,2026-05-10T20:35:18.673867
-3980.3888888888923,0.7562227231210928,719,0.8,0.18055555555555555,3510,0,24.5146649218733,93,2026-05-10T20:40:18.231546
