============================================================
Training independent_dqn on grid_3x3
Net: D:\ITB\TA\gnn-marl-traffic\data/networks/grid_3x3/grid_3x3.net.xml
Route: D:\ITB\TA\gnn-marl-traffic\data/networks/grid_3x3/grid_3x3.rou.xml
Episodes: 200
Seed: 46 | Deterministic: True
============================================================
Number of agents (traffic lights): 9
Traffic light IDs: ['A1', 'B0', 'A0', 'A2', 'B1', 'B2', 'C0', 'C1', 'C2']
Observation dim: 43
Number of actions: 2
Number of lanes per intersection: 8
Adjacency matrix:
[[1. 0. 1. 1. 1. 0. 0. 0. 0.]
 [0. 1. 1. 0. 1. 0. 1. 0. 0.]
 [1. 1. 1. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 1. 1. 0. 1. 0.]
 [0. 0. 0. 1. 1. 1. 0. 0. 1.]
 [0. 1. 0. 0. 0. 0. 1. 1. 0.]
 [0. 0. 0. 0. 1. 0. 1. 1. 1.]
 [0. 0. 0. 0. 0. 1. 0. 1. 1.]]
Episode   73 | reward: -4073.7222 | epsilon: 0.8031 | steps: 719 | avg_delay: 0.6484 | avg_queue: 0.1528 | throughput: 3508 | emergency_stops: 0 | loss_rl: 28.4196
Episode   74 | reward: -4034.8333 | epsilon: 0.8006 | steps: 719 | avg_delay: 0.8929 | avg_queue: 0.2083 | throughput: 3516 | emergency_stops: 0 | loss_rl: 28.9921
Episode   75 | reward: -4068.6667 | epsilon: 0.7982 | steps: 719 | avg_delay: 0.3659 | avg_queue: 0.1111 | throughput: 3516 | emergency_stops: 0 | loss_rl: 27.5091
Episode   76 | reward: -3570.1667 | epsilon: 0.7959 | steps: 719 | avg_delay: 0.3763 | avg_queue: 0.1389 | throughput: 3506 | emergency_stops: 0 | loss_rl: 27.7163
Episode   77 | reward: -3784.8333 | epsilon: 0.7935 | steps: 719 | avg_delay: 2.3222 | avg_queue: 0.2639 | throughput: 3509 | emergency_stops: 0 | loss_rl: 26.8796
Episode   78 | reward: -4002.1111 | epsilon: 0.7911 | steps: 719 | avg_delay: 0.6506 | avg_queue: 0.1250 | throughput: 3515 | emergency_stops: 0 | loss_rl: 26.9670
Episode   79 | reward: -4152.7222 | epsilon: 0.7887 | steps: 719 | avg_delay: 0.9663 | avg_queue: 0.1528 | throughput: 3511 | emergency_stops: 0 | loss_rl: 26.8805
Episode   80 | reward: -4428.3333 | epsilon: 0.7863 | steps: 719 | avg_delay: 0.6092 | avg_queue: 0.0972 | throughput: 3512 | emergency_stops: 0 | loss_rl: 26.4812
Episode   81 | reward: -3812.2778 | epsilon: 0.7840 | steps: 719 | avg_delay: 0.8571 | avg_queue: 0.1528 | throughput: 3515 | emergency_stops: 0 | loss_rl: 26.7397
Episode   82 | reward: -3844.1667 | epsilon: 0.7816 | steps: 719 | avg_delay: 0.0978 | avg_queue: 0.0833 | throughput: 3507 | emergency_stops: 0 | loss_rl: 26.6873
Episode   83 | reward: -4207.1667 | epsilon: 0.7793 | steps: 719 | avg_delay: 0.7284 | avg_queue: 0.1667 | throughput: 3517 | emergency_stops: 1 | loss_rl: 26.3453
Episode   84 | reward: -4174.5556 | epsilon: 0.7770 | steps: 719 | avg_delay: 0.7614 | avg_queue: 0.1528 | throughput: 3512 | emergency_stops: 0 | loss_rl: 26.2743
Episode   85 | reward: -3892.5000 | epsilon: 0.7746 | steps: 719 | avg_delay: 0.1099 | avg_queue: 0.0417 | throughput: 3508 | emergency_stops: 0 | loss_rl: 26.1903
Episode   86 | reward: -3904.7222 | epsilon: 0.7723 | steps: 719 | avg_delay: 1.6966 | avg_queue: 0.2361 | throughput: 3510 | emergency_stops: 0 | loss_rl: 26.5213
Episode   87 | reward: -3647.3889 | epsilon: 0.7700 | steps: 719 | avg_delay: 1.9167 | avg_queue: 0.2222 | throughput: 3515 | emergency_stops: 0 | loss_rl: 26.2019
Episode   88 | reward: -3993.3333 | epsilon: 0.7677 | steps: 719 | avg_delay: 0.6951 | avg_queue: 0.1389 | throughput: 3518 | emergency_stops: 0 | loss_rl: 26.1504
Episode   89 | reward: -3799.4444 | epsilon: 0.7654 | steps: 719 | avg_delay: 1.2841 | avg_queue: 0.2361 | throughput: 3512 | emergency_stops: 0 | loss_rl: 25.4187
Episode   90 | reward: -3680.7222 | epsilon: 0.7631 | steps: 719 | avg_delay: 0.7528 | avg_queue: 0.2083 | throughput: 3510 | emergency_stops: 0 | loss_rl: 25.6016
Episode   91 | reward: -3792.8889 | epsilon: 0.7608 | steps: 719 | avg_delay: 0.2222 | avg_queue: 0.0972 | throughput: 3509 | emergency_stops: 0 | loss_rl: 25.2825
Episode   92 | reward: -4126.1111 | epsilon: 0.7585 | steps: 719 | avg_delay: 0.4483 | avg_queue: 0.1111 | throughput: 3512 | emergency_stops: 0 | loss_rl: 24.8980
Episode   93 | reward: -3699.0556 | epsilon: 0.7562 | steps: 719 | avg_delay: 0.4286 | avg_queue: 0.1528 | throughput: 3515 | emergency_stops: 0 | loss_rl: 24.7125
Episode   94 | reward: -3747.2222 | epsilon: 0.7540 | steps: 719 | avg_delay: 0.5909 | avg_queue: 0.1667 | throughput: 3511 | emergency_stops: 0 | loss_rl: 25.4960
